Group.1	P32DA1	P32DA2	P32DA3	P32DB1	P32DB2	P32DB3	P32HA1	P32HA2	P32HA3	P32HB1	P32HB2	P32HB3	P60DA1	P60DA2	P60DA3	P60DB1	P60DB2	P60DB3	P60HA1	P60HA2	P60HA3	P60HB1	P60HB2	P60HB3
2610020o08rik	3297.124	2264.568	2687.06	3571.014	2760.056	2509.985	2639.274	1919.268	2236.611	2736.654	2171.665	2499.795	2926.86	1721.655	2138.451	3271.466	4151.466	2200.159	1974.875	2644.818	1834.237	2966.913	3331.988	1771.863
A2m	34165.81	43982.906	38551.69	32401.342	39972.462	33727.743	33117.647	36794.389	38289.327	29681.448	37411.594	35838.354	35938.73	41680.275	38173.359	34097.595	35261.177	38344.386	30635.291	35319.639	36007.969	25642.209	35674.904	32344.466
A3galt2	1451.754	1815.2	2767.777	1694.741	804.412	2907.869	2573.009	580.676	996.216	2097.854	841.294	1392.171	1578.47	3562.025	2964.886	1866.849	1306.103	2974.922	751.452	679.999	756.974	1131.925	876.627	1772.936
Aaas	1440.183	2009.289	2606.446	1367.745	1135.12	2734.696	1252.395	1674.679	2316.536	1513.873	1323.535	2423.623	1269.379	2385.607	3136.15	1293.646	1087.809	2444.187	1515.954	1464.578	2635.205	1214.662	1214.24	2339.079
Aacs	786.26	3717.926	1303.244	1625.086	2748.779	2202.872	632.244	2374.315	2285.212	1068.686	3939.853	3607.327	442.971	1462.947	768.423	639.759	1665.477	1843.35	714.39	1779.1	1138.381	1087.463	1692.253	2044.83
Aadat	848.462	290.573	1598.351	1178.81	430.1	1125.065	2076.676	116.256	328.085	1269.574	368.475	614.402	1059.007	453.638	594.839	1945.501	2765.572	1460.211	326.197	221.847	199.381	1561.135	1335.38	1068.974
Aamp	14048.334	20615.697	19175.917	12683.25	13731.756	19441.376	14852.585	15798.336	21896.48	11487.081	15201.465	23155.003	14027.353	22106.881	19143.712	15486.388	9524.587	22743.96	12708.083	11652.126	22864.806	15353.314	9063.255	23791.644
Aard	717.529	195.039	1392.286	1479.958	484.361	2437.338	1482.887	185.505	718.01	2958.559	439.53	1700.699	518.061	206.597	680.418	885.033	334.923	431.874	460.457	196.292	308.829	869.682	561.026	944.384
Aars	17780.277	23354.052	11767.072	15126.288	13832.14	10446.175	11836.564	18684.972	22575.033	7906.531	17787.765	17545.913	15131.318	23983.921	10161.907	14842.542	11174.546	19623.315	17760.866	15761.062	25716.322	19144.5	10163.373	21295.393
Aasdhppt	6883.5785	5048.032999999999	10288.807	6543.6720000000005	7057.7675	9370.754	7099.924499999999	5995.032499999999	7540.0135	8687.618	5667.0535	7767.8785	9765.0945	5960.122	9946.752	8861.1255	5422.2705000000005	6078.7175	7962.076999999999	5150.606	7690.9055	9368.712	5723.3835	7133.964
