SEQ_ID	SYMBOL	GENE_NAME
NM_001000000	Olr1389	olfactory receptor Olr1389
NM_001000001	Olr1387	olfactory receptor Olr1387
NM_001000002	Olr1398	olfactory receptor Olr1398
NM_001000003	Olr1401	olfactory receptor Olr1401
NM_001000004	Olr1409	olfactory receptor Olr1409
NM_001000005	Olr1407	olfactory receptor Olr1407
NM_001000006	Olr1423	olfactory receptor Olr1423
NM_001000007	Olr1422	olfactory receptor Olr1422
NM_001000008	Olr1418	olfactory receptor Olr1418
NM_001000009	Olr1416	olfactory receptor Olr1416
NM_001000010	Olr1425	olfactory receptor Olr1425
NM_001000011	Olr1428	olfactory receptor Olr1428
NM_001000012	Olr1432	olfactory receptor Olr1432
NM_001000013	Olr1434	olfactory receptor Olr1434
NM_001000014	Olr1436	olfactory receptor Olr1436
NM_001000015	Olr1437	olfactory receptor Olr1437
NM_001000016	Olr1439	olfactory receptor Olr1439
NM_001000017	Olr1440	olfactory receptor Olr1440
NM_001000018	Olr1443	olfactory receptor Olr1443
NM_001000019	Olr1448	olfactory receptor Olr1448
NM_001000020	Olr1454	olfactory receptor Olr1454
NM_001000021	Olr1458	olfactory receptor Olr1458
NM_001000022	Olr1461	olfactory receptor Olr1461
NM_001000023	Olr1463	olfactory receptor Olr1463
NM_001000024	Olr1466	olfactory receptor Olr1466
NM_001000025	Olr1467	olfactory receptor Olr1467
NM_001000026	Olr1482	olfactory receptor Olr1482
NM_001000027	Olr1475	olfactory receptor Olr1475
NM_001000028	Olr1485	olfactory receptor Olr1485
NM_001000029	Olr1492	olfactory receptor Olr1492
NM_001000030	Olr1498	olfactory receptor Olr1498
NM_001000031	Olr1499	olfactory receptor Olr1499
NM_001000032	Olr1505	olfactory receptor Olr1505
NM_001000033	Olr1507	olfactory receptor Olr1507
NM_001000034	Olr1511	olfactory receptor Olr1511
NM_001000035	Olr1513	olfactory receptor Olr1513
NM_001000036	Olr1514	olfactory receptor Olr1514
NM_001000037	Olr1519	olfactory receptor Olr1519
NM_001000038	Olr1516	olfactory receptor Olr1516
NM_001000039	Olr1521	olfactory receptor Olr1521
NM_001000040	Olr1522	olfactory receptor Olr1522
NM_001000041	Olr1570	olfactory receptor Olr1570
NM_001000042	Olr1569	olfactory receptor Olr1569
NM_001000043	Olr1567	olfactory receptor Olr1567
NM_001000044	Olr1566	olfactory receptor Olr1566
NM_001000045	Olr1564	olfactory receptor Olr1564
NM_001000046	Olr1563	olfactory receptor Olr1563
NM_001000047	Olr1562	olfactory receptor Olr1562
NM_001000048	Olr1561	olfactory receptor Olr1561
NM_001000049	Olr1559	olfactory receptor Olr1559
NM_001000050	Olr1557	olfactory receptor Olr1557
NM_001000051	Olr1553	olfactory receptor Olr1553
NM_001000052	Olr1549	olfactory receptor Olr1549
NM_001000054	Olr875	olfactory receptor Olr875
NM_001000055	Olr880	olfactory receptor Olr880
NM_001000056	Olr881	olfactory receptor Olr881
NM_001000057	Olr901	olfactory receptor Olr901
NM_001000058	Olr898	olfactory receptor Olr898
NM_001000059	Olr896	olfactory receptor Olr896
NM_001000060	Olr892	olfactory receptor Olr892
NM_001000061	Olr889	olfactory receptor Olr889
NM_001000062	Olr1072	olfactory receptor Olr1072
NM_001000063	Olr1071	olfactory receptor Olr1071
NM_001000064	Olr1063	olfactory receptor Olr1063
